"0",""
"0","c_plot <- ggplot(full_pred_table, aes(C_diff / 10^6)) + "
"0","  geom_histogram(bins = 50, colour = 1, fill = ""red"", alpha = 0.6) +"
"0","  scale_x_continuous(""Current Salary"", limits = c(-15, 15), breaks = c(-15, -10, -5, 0, 5, 10, 15)) +"
"0","  scale_y_continuous(limits = c(0, 200)) +"
"0","  theme(axis.title.y = element_blank())"
"0","reg_plot <- ggplot(full_pred_table, aes(Reg_diff / 10^6)) + "
"0","  geom_histogram(bins = 50, colour = 1, fill = ""red"", alpha = 0.6) +"
"0","  scale_x_continuous(""Regularization Prediction"", limits = c(-15, 15), breaks = c(-15, -10, -5, 0, 5, 10, 15)) + "
"0","  scale_y_continuous(limits = c(0, 200)) +"
"0","  theme(axis.title.y = element_blank())"
"0","boost_plot <- ggplot(full_pred_table, aes(Boost_diff / 10^6)) + "
"0","  geom_histogram(bins = 50, colour = 1, fill = ""red"", alpha = 0.6) +"
"0","  scale_x_continuous(""XGBoost Prediction"", limits = c(-15, 15), breaks = c(-15, -10, -5, 0, 5, 10, 15)) + "
"0","  scale_y_continuous(limits = c(0, 200)) +"
"0","  theme(axis.title.y = element_blank())"
"0","rf_plot <- ggplot(full_pred_table, aes(Rf_diff / 10^6)) + "
"0","  geom_histogram(bins = 50, colour = 1, fill = ""red"", alpha = 0.6) +"
"0","  scale_x_continuous(""Random Forest Prediciton"", labels = scales::dollar, limits = c(-15, 15), breaks = c(-15, -10, -5, 0, 5, 10, 15)) + "
"0","  scale_y_continuous(limits = c(0, 200)) +"
"0","  theme(axis.title.y = element_blank())"
"0",""
"0","grid.arrange(c_plot, reg_plot, boost_plot, rf_plot, ncol=2, top = textGrob(""Salary Difference (in Millions) between Models"", gp=gpar(fontsize = 14, font=4)))"
