Player,Pos,MLS,2013 Salary
"Rodriguez, Alex",3b,18.011,"$29,000,000 "
"Santana, Johan",lhp-s,12.122,"$25,500,000 "
"Lee, Cliff",lhp-s,9.100,"$25,000,000 "
"Wells, Vernon",of,11.113,"$24,642,857 "
"Teixeira, Mark",1b,10.000,"$23,125,000 "
"Sabathia, CC",lhp-s,12.000,"$23,000,000 "
"Mauer, Joe",c,9.000,"$23,000,000 "
"Fielder, Prince",1b,7.068,"$23,000,000 "
"Lincecum, Tim",rhp-s,5.148,"$22,250,000 "
"Gonzalez, Adrian",1b,7.108,"$21,857,143 "
"Cabrera, Miguel",3b,9.101,"$21,000,000 "
"Crawford, Carl",lf,10.072,"$20,857,143 "
"Cain, Matt",rhp-s,7.038,"$20,833,333 "
"Hamels, Cole",lhp-s,6.143,"$20,500,000 "
"Kemp, Matt",cf,6.049,"$20,250,000 "
"Zito, Barry",lhp-s,12.072,"$20,000,000 "
"Verlander, Justin",rhp-s,7.002,"$20,000,000 "
"Howard, Ryan",1b,7.145,"$20,000,000 "
"Halladay, Roy",rhp-s,13.047,"$20,000,000 "
"Hernandez, Felix",rhp-s,7.060,"$19,857,143 "
"Votto, Joey",1b,5.027,"$19,000,000 "
"Soriano, Alfonso",lf,12.079,"$19,000,000 "
"Greinke, Zack",rhp-s,8.057,"$19,000,000 "
"Hamilton, Josh",cf,6.000,"$17,400,000 "
"Jeter, Derek",ss,17.043,"$17,000,000 "
"Holliday, Matt",lf,9.000,"$17,000,000 "
"Beckett, Josh",rhp-s,11.030,"$17,000,000 "
"Werth, Jayson",rf,9.102,"$16,571,429 "
"Burnett, A.J.",rhp-s,13.038,"$16,500,000 "
"Arroyo, Bronson",rhp-s,10.150,"$16,445,533 "
"Weaver, Jered",rhp-s,6.129,"$16,200,000 "
"Young, Michael",inf-dh,11.134,"$16,000,000 "
"Pujols, Albert",1b,12.000,"$16,000,000 "
"Beltre, Adrian",3b,14.096,"$16,000,000 "
"Lackey, John",rhp-s,10.095,"$15,950,000 "
"Danks, John",lhp-s,6.000,"$15,750,000 "
"Ramirez, Hanley",ss,7.014,"$15,500,000 "
"Markakis, Nick",rf,7.000,"$15,350,000 "
"Utley, Chase",2b,9.027,"$15,285,714 "
"Morneau, Justin",1b,8.168,"$15,000,000 "
"Kuroda, Hiroki",rhp-s,5.000,"$15,000,000 "
"Granderson, Curtis",cf,7.077,"$15,000,000 "
"Dunn, Adam",dh-1b,11.074,"$15,000,000 "
"Cano, Robinson",2b,7.153,"$15,000,000 "
"Peavy, Jake",rhp-s,10.101,"$14,500,000 "
"Ortiz, David",dh,14.048,"$14,500,000 "
"Molina, Yadier",c,8.123,"$14,200,000 "
"Zimmerman, Ryan",3b,7.032,"$14,100,000 "
"Bautista, Jose",3b-rf,7.165,"$14,000,000 "
"Pence, Hunter",rf,5.156,"$13,800,000 "
"Johnson, Josh",rhp-s,7.026,"$13,750,000 "
"Rodriguez, Wandy",lhp-s,7.105,"$13,500,000 "
"Konerko, Paul",1b,14.141,"$13,500,000 "
"Ethier, Andre",rf,6.153,"$13,500,000 "
"Dempster, Ryan",rhp-s,14.063,"$13,250,000 "
"Uggla, Dan",2b,7.000,"$13,200,000 "
"Lilly, Ted",lhp-s,12.102,"$13,166,667 "
"Upton, B.J.",cf,6.126,"$13,050,000 "
"Victorino, Shane",rf,7.092,"$13,000,000 "
"Santana, Ervin",rhp-s,7.104,"$13,000,000 "
"Rios, Alex",rf,8.130,"$13,000,000 "
"Papelbon, Jonathan",rhp,7.064,"$13,000,000 "
"Martinez, Victor",dh-1b,9.114,"$13,000,000 "
"Kinsler, Ian",2b,7.000,"$13,000,000 "
"Jackson, Edwin",rhp-s,7.070,"$13,000,000 "
"Haren, Dan",rhp-s,8.154,"$13,000,000 "
"Beltran, Carlos",rf,14.014,"$13,000,000 "
"Carpenter, Chris",rhp-s,15.080,"$12,500,000 "
"Youkilis, Kevin",1b-3b,8.093,"$12,000,000 "
"Wainwright, Adam",rhp-s,7.027,"$12,000,000 "
"Pettitte, Andy",lhp-s,16.144,"$12,000,000 "
"McCann, Brian",c,7.117,"$12,000,000 "
"Hunter, Torii",rf,13.132,"$12,000,000 "
"Buehrle, Mark",lhp-s,12.078,"$12,000,000 "
"Lester, Jon",lhp-s,6.075,"$11,625,000 "
"Wilson, C.J.",lhp,7.055,"$11,500,000 "
"Nolasco, Ricky",rhp-s,6.142,"$11,500,000 "
"Shields, James",rhp-s,6.125,"$11,250,000 "
"Kershaw, Clayton",lhp-s,4.105,"$11,250,000 "
"Wright, David",3b,8.075,"$11,000,000 "
